title,author,description,publisher,year,image_url,category
The Good Heart - A Buddhist Perspective on the Teachings of Jesus,H.H. the Dalai Lama,"The Dalai Lama provides an extraordinary Buddhist perspective on the teachings of Jesus, commenting on well-known passages from the four Christian Gospels including the Sermon on the Mount, the parable of the mustard seed, the Resurrection, and others.","Wisdom Publications, Boston",1996,https://www.dalailama.com/assets/books/_bookCover/The-Good-Heart-A-Buddhist-Perspective-on-the-Teachings-of-Jesus-new.jpg,Ethics
"Awakening the Mind, Lightening the Heart","H.H. the Dalai Lama, edited by John Avedon & Donald S. Lopez","The Dalai Lama details the original Kadampa mind transformation methods, basing his treatment on Namkha Pel's Mind Training Like the Rays of the Sun, which takes the practitioner through the processes of generating the aspirational mind of enlightenment.","Harper Collins, New York",1995,https://www.dalailama.com/assets/books/_bookCover/Awakening-the-Mind-Lightening-the-Heart-new1.jpg,Meditation
Commentary on the Thirty Seven Practices of a Bodhisattva,"H.H. the Dalai Lama, translated by Acharya Nyima Tsering, edited by Vyvyan Cayley and Mike Gilmore","One of Tibetan Buddhism's most popular texts, incorporating mind training and Lam-rim teachings. His Holiness elucidates each stanza and gives introductory talks on living one's Buddhism.","Library of Tibetan Works & Archives, Dharamsala",1995,https://www.dalailama.com/assets/books/_bookCover/Commentary-on-the-Thirty-Seven-Practices-of-a-Bodhisattva-new.jpg,Buddhism
Dialogues on Universal Responsibility and Education,H.H. the Dalai Lama,"Two workshops held in Delhi between the Dalai Lama and a group of Indian scholars, philosophers, teachers and social reformers.","Library of Tibetan Works & Archives, Dharamsala",1995,https://www.dalailama.com/assets/books/_bookCover/Dialogues-on-Universal-Responsibility-and-Education-new.jpg,Ethics
His Holiness the Dalai Lama Speeches Statements Articles Interviews from 1987 to June 1995,H.H. the Dalai Lama, ,"Department of Information and International Relations, Dharamsala",1995,https://www.dalailama.com/assets/books/_bookCover/His-Holiness-the-Dalai-Lama-Speeches-Statements-Articles-Interviews-from-1987-to-June-1995.jpeg,Autobiography
The Path to Enlightenment,"H.H. the Dalai Lama, translated & edited by Glenn H. Mullin",he Dalai Lama provides an extensive teaching on the path to enlightenmen drawing out the meaning of the Third Dalai Lama's famous 'Essence of Refined Gold' .,"Snow Lion Publications, Ithaca",1995,https://www.dalailama.com/assets/books/_bookCover/The-Path-to-Enlightenment-new.jpg,Buddhism
The Power of Compassion,H.H. the Dalai Lama,"Drawing upon contemporary themes, the Dalai Lama offers timeless knowledge to give readers courage to face the confusion and suffering of the world and bring wisdom and compassion into their lives.",Harper Collins,1995,https://www.dalailama.com/assets/books/_bookCover/The-Power-of-Compassion-new.jpg,Ethics
The Spirit of Tibet: Universal Heritage - Selected Speeches and Writings,"H.H. the Dalai Lama, edited by A.A. Shiromany, Tibetan Parliamentary Center", ,"Tibetan Parliamentary and Policy Research Center, New Delhi",1995,https://www.dalailama.com/assets/books/_bookCover/The-Spirit-of-Tibet-Universal-Heritage-Selected-Speeches-and-Writings-new.jpg,Autobiography
The Way to Freedom,"H.H. the Dalai Lama, edited by John Avedon & Donald S. Lopez","An essential primer on Tibetan Buddhism for both beginners and advanced students, based on the Lam Rim teachings. It covers refuge, karma, death, rebirth, the Four Noble Truths, and the bodhisattva ideal and deeds.",Harper Collins,1995,https://www.dalailama.com/assets/books/_bookCover/The-Way-to-Freedom-new.jpg,Buddhism
The World of Tibetan Buddhism,"H.H. the Dalai Lama, translated, edited and annotated by Dr. Thupten Jinpa","The World of Tibetan Buddhism
by H.H. the Dalai Lama, translated, edited and annotated by Dr. Thupten Jinpa

In this book the Dalai Lama explains in brief but lucid detail every aspect of the Tibetan Buddhist path to enlightenment.","Wisdom Publications, Boston",1995,https://www.dalailama.com/assets/books/_bookCover/The-World-of-Tibetan-Buddhism-new.jpg,Buddhism
A Flash of Lightning in the Dark of Night,H.H. the Dalai Lama,His Holiness presents here a detailed manual of practical philosophy based on the Bodhicharyavatara by Shantideva.,"Shambala Publications, Boston",1994,https://www.dalailama.com/assets/books/_bookCover/A-Flash-of-Lightning-in-the-Dark-of-Night-new-1.jpg,Buddhism
Words of Truth,H.H. the Dalai Lama, ,"Wisdom Publications, Boston",1993,https://www.dalailama.com/assets/books/_bookCover/Words-of-Truth.jpeg,Ethics
Generous Wisdom - Commentaries on the Jatakamala,H.H. the Dalai Lama,"Discourses on the 'Jatakamala: Garland of Birth Stories of Buddha', given during the Great Prayer Festival in Dharamsala ","Library of Tibetan Works & Archives, Dharamsala",1993,https://www.dalailama.com/assets/books/_bookCover/Generous-Wisdom-Commentaries-on-the-Jatakamala-new.jpg,Buddhism
